·2.47174£+18,07/06/202119:58,07/06/202120:03,11603.96875,11604.79688,41.1,41.1,trip,
·2.47174£+18,07/06/202121:41,07/06/202121:53,11604.8125,"1,161,220,313",403,384,trip,
·2.47174E+18,07/06/202121:57,07/06/202122:53,"1,161,220,313","1,166,175",384,298,trip,
·2.47174£+18,07/06/202122:55,07/06/202123:26,"1,166,175","1,166,175",298,65,charge,DCCharging
·2.47174E+18,07/06/202123:26,07/06/202123:47,"1,166,175","1,168,667,188",65,596,trip,
·2.47174E+18,07/06/202123:52,08/06/202100:15,"1,168,667,188","1,169,767,188",592,568,trip,
·2.47174£+18,08/06/202100:51,08/06/202102:50,"1,169,767,188","1,178,285,938",564,388,trip,
-2.47174£+18,08/06/202102:50,08/06/202117:04,"1,178,285,938","1,178,285,938",388,564,charge,120
·2.47174£+18,08/06/202117:04,08/06/202117:25,"1,178,285,938","1,179,382,813",564,549,trip,
·2.47174E+18,08/06/202117:25,08/06/202117:38,"1,179,382,813","1,179,382,813",549,556,charge,240,
·2.47174£+18,08/06/202117:38,08/06/202117:45,"1,179,382,813","1,179,910,938",556,552,trip,
·2.47174£+18,08/06/202117:54,08/06/202118:35,"1,179,910,938","1,182,170,313",549,513,trip,
-2.47174£+18,08/06/202118:44,08/06/202118:53,"1,182,170,313","1,182,515,625",505,505,trip,
·2.47174£+18,08/06/202118:54,08/06/202118:56,"1,182,515,625","1,182,565,625",505,498,trip,
·2.47174E+18,08/06/202118:56,08/06/202119:08,"1,182,565,625","1,182,565,625",498,517,charge,240,
·2.47174£+18,08/06/202119:08,08/06/202121:44,"1,182,565,625","1,192,570,313",517,313,trip,
·2.47174£+18,08/06/202121:45,08/06/202121:59,"1,192,570,313","1,193,376,563",313,305,trip,
-2.47174£+18,08/06/202122:00,08/06/202123:55,"1,193,376,563","1,193,376,563",305,325,charge,120
·2.47174£+18,08/06/202123:55,09/06/202100:11,"1,193,376,563","1,194,320,313",325,313,trip,
·2.47174E+18,09/06/202100:12,09/06/202101:13,"1,194,320,313","1,194,320,313",313,823,charge,DCCharging
·2.47174E+18,09/06/202101:13,09/06/202101:46,"1,194,320,313","1,196,325",823,784,trip,
·2.47174£+18,09/06/202101:46,09/06/202112:45,"1,196,325","1,196,325",784,913,charge,120
-2.47174£+18,09/06/202112:45,09/06/202116:41,"1,196,325","1,214,146,875",913,56,trip,
·2.47174£+18,09/06/202116:42,09/06/202117:47,"1,214,146,875","1,214,146,875",56,568,charge,120
·2.47174E+18,09/06/202117:47,09/06/202120:54,"1,214,146,875","1,224,453,125",568,392,trip,
·2.47174£+18,09/06/202120:55,09/06/202121:54,"1,224,453,125","1,224,453,125",392,396,charge,120
·2.47174E+18,09/06/202121:54,09/06/202122:47,"1,224,453,125","1,227,867,188",396,341,trip,
·2.47174E+18,09/06/202122:48,09/06/202123:18,"1,227,867,188","1,227,867,188",341,666,charge,DCCharging
·2.47174E+18,09/06/202123:18,10/06/202101:16,"1,227,867,188","1,235,754,688",666,501,trip,
·2.47174E+18,10/06/202101:17,10/06/202101:37,"1,235,754,688","1,235,754,688",501,501,charge,120
·2.47174£+18,10/06/202101:37,10/06/202101:58,"1,235,754,688","1,236,995,313",50.1,47,trip,
·2.47174E+18,10/06/202101:59,10/06/202102:56,"1,236,995,313","1,236,995,313",47,878,charge,DCCharging
